stadium_id,stadium,capacity,continent,country,city,home_teams
369,Resonac Dome Ōita,40000,Asia,Japan,Ōita,Ōita Trinita
370,Stadium Darul Makmur,40000,Asia,Malaysia,Kuantan,Pahang FA
371,Khalifa International Stadium,40000,Asia,Qatar,Doha,Qatar national football team
372,Stade de lAmitié sino-gabonaise ,40000,Africa,Gabon,Libreville,Gabon national football team
373,Peoples Football Stadium,40000,Asia,Pakistan,Karachi,Pakistan national football team
374,JRD Tata Sports Complex Stadium,40000,Asia,India,Jamshedpur,"Jamshedpur FC, Tata Football Academy"
375,Bao'an Stadium,40000,Asia,China,"Shenzhen, Guangdong",
376,Kunming Tuodong Sports Centre Stadium,40000,Asia,China,"Kunming, Yunnan",China national football team
377,Taizhou Sports Centre Stadium,40000,Asia,China,"Taizhou, Zhejiang",
378,Wuhu Olympic Stadium,40000,Asia,China,"Wuhu, Anhui",
379,Huizhou Olympic Stadium,40000,Asia,China,"Huizhou, Guangdong",
